id,created_date,modified_date,is_active,kpi_definition,kpi_plan,kpi_starting_perf,kpi_units,created_by_id,kpi_custom_rating_scheme_id_id,kpi_measure_frequency_refitem_id,kpi_role_id,modified_by_id
37,2018-10-25 11:54:40.680715+05:30,2018-10-25 11:54:40.680764+05:30,t,Process Compliance ,100,90,Percentage,1,3,208,5,1
38,2018-10-25 11:54:40.680715+05:30,2018-10-25 11:54:40.680764+05:30,t,Ontime Delivery,90,80,Percentage,1,3,208,5,1
39,2018-10-25 11:54:40.680715+05:30,2018-10-25 11:54:40.680764+05:30,t,Technical Leadership,80,60,Percentage,1,3,208,5,1
40,2018-10-25 11:54:40.680715+05:30,2018-10-25 11:54:40.680764+05:30,t,Functional Leadership,80,60,Percentage,1,3,208,5,1
41,2018-10-25 11:54:40.680715+05:30,2018-10-25 11:54:40.680764+05:30,t,Team Collaboration,80,70,Percentage,1,3,208,5,1
42,2018-10-25 11:54:40.680715+05:30,2018-10-25 11:54:40.680764+05:30,t,Employee Engagement ,80,60,Percentage,1,3,208,5,1
43,2018-10-25 11:54:40.680715+05:30,2018-10-25 11:54:40.680764+05:30,t,Commercial Viability,70,50,Percentage,1,3,208,5,1
44,2018-10-25 11:54:40.680715+05:30,2018-10-25 11:54:40.680764+05:30,t,Customer Satisfaction,90,80,Percentage,1,3,208,5,1
45,2018-10-25 11:54:40.680715+05:30,2018-10-25 11:54:40.680764+05:30,t,Innovation,70,50,Percentage,1,3,208,6,1
46,2018-10-25 11:54:40.680715+05:30,2018-10-25 11:54:40.680764+05:30,t,Performance Engineering - Improve software application performance,80,60,Percentage,1,3,208,6,1
47,2018-10-25 11:54:40.680715+05:30,2018-10-25 11:54:40.680764+05:30,t,Security Engineering - Increase data security and prevent breakdown incidents,90,70,Percentage,1,3,208,6,1
48,2018-10-25 11:54:40.680715+05:30,2018-10-25 11:54:40.680764+05:30,t,Process Compliance ,100,90,Percentage,1,3,208,6,1
49,2018-10-25 11:54:40.680715+05:30,2018-10-25 11:54:40.680764+05:30,t,Ontime Delivery,90,80,Percentage,1,3,208,6,1
50,2018-10-25 11:54:40.680715+05:30,2018-10-25 11:54:40.680764+05:30,t,Technical Leadership,80,60,Percentage,1,3,208,6,1
51,2018-10-25 11:54:40.680715+05:30,2018-10-25 11:54:40.680764+05:30,t,Functional Leadership,80,60,Percentage,1,3,208,6,1
52,2018-10-25 11:54:40.680715+05:30,2018-10-25 11:54:40.680764+05:30,t,Team Collaboration,80,70,Percentage,1,3,208,6,1
53,2018-10-25 11:54:40.680715+05:30,2018-10-25 11:54:40.680764+05:30,t,Employee Engagement ,80,60,Percentage,1,3,208,6,1
54,2018-10-25 11:54:40.680715+05:30,2018-10-25 11:54:40.680764+05:30,t,Commercial Viability,70,50,Percentage,1,3,208,6,1
55,2018-10-25 11:54:40.680715+05:30,2018-10-25 11:54:40.680764+05:30,t,Customer Satisfaction,90,80,Percentage,1,3,208,6,1
56,2018-10-25 11:54:40.680715+05:30,2018-10-25 11:54:40.680764+05:30,t,Innovation,70,50,Percentage,1,3,208,7,1
57,2018-10-25 11:54:40.680715+05:30,2018-10-25 11:54:40.680764+05:30,t,Performance Engineering - Improve software application performance,80,60,Percentage,1,3,208,7,1
58,2018-10-25 11:54:40.680715+05:30,2018-10-25 11:54:40.680764+05:30,t,Security Engineering - Increase data security and prevent breakdown incidents,90,70,Percentage,1,3,208,7,1
59,2018-10-25 11:54:40.680715+05:30,2018-10-25 11:54:40.680764+05:30,t,Process Compliance ,100,90,Percentage,1,3,208,7,1
60,2018-10-25 11:54:40.680715+05:30,2018-10-25 11:54:40.680764+05:30,t,Ontime Delivery,90,80,Percentage,1,3,208,7,1
61,2018-10-25 11:54:40.680715+05:30,2018-10-25 11:54:40.680764+05:30,t,Technical Leadership,80,60,Percentage,1,3,208,7,1
62,2018-10-25 11:54:40.680715+05:30,2018-10-25 11:54:40.680764+05:30,t,Functional Leadership,80,60,Percentage,1,3,208,7,1
63,2018-10-25 11:54:40.680715+05:30,2018-10-25 11:54:40.680764+05:30,t,Team Collaboration,80,70,Percentage,1,3,208,7,1
64,2018-10-25 11:54:40.680715+05:30,2018-10-25 11:54:40.680764+05:30,t,Employee Engagement ,80,60,Percentage,1,3,208,7,1
65,2018-10-25 11:54:40.680715+05:30,2018-10-25 11:54:40.680764+05:30,t,Commercial Viability,70,50,Percentage,1,3,208,7,1
66,2018-10-25 11:54:40.680715+05:30,2018-10-25 11:54:40.680764+05:30,t,Customer Satisfaction,90,80,Percentage,1,3,208,7,1
67,2018-10-25 11:54:40.680715+05:30,2018-10-25 11:54:40.680764+05:30,t,Innovation,70,50,Percentage,1,3,208,8,1
68,2018-10-25 11:54:40.680715+05:30,2018-10-25 11:54:40.680764+05:30,t,Performance Engineering - Improve software application performance,80,60,Percentage,1,3,208,8,1
69,2018-10-25 11:54:40.680715+05:30,2018-10-25 11:54:40.680764+05:30,t,Security Engineering - Increase data security and prevent breakdown incidents,90,70,Percentage,1,3,208,8,1
70,2018-10-25 11:54:40.680715+05:30,2018-10-25 11:54:40.680764+05:30,t,Process Compliance ,100,90,Percentage,1,3,208,8,1
71,2018-10-25 11:54:40.680715+05:30,2018-10-25 11:54:40.680764+05:30,t,Ontime Delivery,90,80,Percentage,1,3,208,8,1
72,2018-10-25 11:54:40.680715+05:30,2018-10-25 11:54:40.680764+05:30,t,Technical Leadership,80,60,Percentage,1,3,208,8,1
