id,created_date,modified_date,is_active,created_by_id,from_refitems_category_id,modified_by_id,to_refitems_category_id
60,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,417,1,482
61,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,417,1,483
62,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,417,1,433
63,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,417,1,435
64,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,417,1,436
65,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,417,1,437
66,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,417,1,439
67,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,434,1,480
68,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,434,1,481
69,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,434,1,482
70,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,434,1,483
71,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,434,1,432
72,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,434,1,433
73,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,434,1,435
74,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,434,1,437
75,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,434,1,439
76,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,478,1,487
77,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,478,1,486
78,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,478,1,433
79,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,478,1,484
80,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,478,1,488
81,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,478,1,489
82,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,478,1,490
83,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,478,1,485
84,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,478,1,437
85,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,478,1,483
86,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,479,1,491
87,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,479,1,492
88,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,479,1,495
89,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,479,1,493
90,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,479,1,494
91,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,479,1,499
92,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,479,1,497
93,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,479,1,496
94,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,479,1,500
95,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,479,1,498
96,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,436,1,523
97,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,436,1,524
98,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,436,1,525
99,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,436,1,501
100,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,436,1,502
101,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,436,1,503
102,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,432,1,526
103,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,432,1,527
104,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,432,1,528
105,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,432,1,504
106,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,432,1,505
107,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,432,1,506
108,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,435,1,529
109,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,435,1,530
110,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,435,1,531
111,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,435,1,507
112,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,435,1,508
113,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,435,1,509
114,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,439,1,512
115,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,439,1,532
116,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,439,1,533
117,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,439,1,534
118,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,439,1,510
119,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,439,1,511
120,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,480,1,513
121,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,480,1,514
122,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,480,1,536
123,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,480,1,535
124,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,433,1,515
125,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1,433,1,516
