id,created_date,modified_date,is_active,asset_model_code,asset_configuration,asset_serial,asset_purchase_date,asset_warranty,asset_expiration_date,asset_remarks,asset_address,asset_brown_goods,asset_white_goods,asset_division_id,asset_make_refitem_id,asset_model_refitem_id,asset_model_type_refitem_id,asset_org_id,asset_org_unit_id,asset_status_refitem_id,created_by_id,modified_by_id
222,2018-10-17 20:29:06.309256+05:30,2018-10-17 20:29:06.309256+05:30,t,NEXT-IN-WO078,"I5 8GB RAM 160 GB HDD, UBUNTU",J41672S,2016-01-08 05:30:00+05:30,,,,,,,,432,972,421,2,7,424,1,1
223,2018-10-17 20:29:06.309256+05:30,2018-10-17 20:29:06.309256+05:30,t,NEXT-IN-WO080,"I5 6GB RAM 160 GB HDD, UBUNTU14.4",IYY5725,2016-01-08 05:30:00+05:30,,,,,,,,432,972,421,2,7,424,1,1
224,2018-10-17 20:29:06.309256+05:30,2018-10-17 20:29:06.309256+05:30,t,NEXT-IN-MU077,Mouse,F93A90AN3UV0BYG,2016-01-15 05:30:00+05:30,,,,,,,,439,966,419,2,7,424,1,1
225,2018-10-17 20:29:06.309256+05:30,2018-10-17 20:29:06.309256+05:30,t,NEXT-IN-WO053,i5-2400 3.10Gh,81F6B2S,2016-01-15 05:30:00+05:30,,,,,,,,432,444,421,2,7,424,1,1
226,2018-10-17 20:29:06.309256+05:30,2018-10-17 20:29:06.309256+05:30,t,NEXT-IN-MU018,Mouse,CN-0X9DCG-71616-46D1-FLD,2016-01-08 05:30:00+05:30,,,,,,,,432,469,419,2,7,424,1,1
227,2018-10-17 20:29:06.309256+05:30,2018-10-17 20:29:06.309256+05:30,t,NEXT-IN-WO064,"i5-2400 3.10Gh,6GB, Ubuntu14.4",HR44B2S,2016-01-15 05:30:00+05:30,,,,,,,,432,444,421,2,7,424,1,1
228,2018-10-17 20:29:06.309256+05:30,2018-10-17 20:29:06.309256+05:30,t,NEXT-IN-KE082,Keyboard,CN-0C645N-71616-5B1-OVR7,2016-01-08 05:30:00+05:30,,,,,,,,432,978,418,2,7,424,1,1
229,2018-10-17 20:29:06.309256+05:30,2018-10-17 20:29:06.309256+05:30,t,NEXT-IN-MN023,22 inch HD Monitor,CN-0VJH96-74445-55M-359U,2016-01-08 05:30:00+05:30,,,,,,,,432,456,416,2,7,424,1,1
230,2018-10-17 20:29:06.309256+05:30,2018-10-17 20:29:06.309256+05:30,t,NEXT-IN-KE056,Keyboard,CN-0DJ3317161681U0E8U,2016-01-15 05:30:00+05:30,,,,,,,,432,987,418,2,7,424,1,1
231,2018-10-17 20:29:06.309256+05:30,2018-10-17 20:29:06.309256+05:30,t,NEXT-IN-MU048,Mouse,265986003,2016-01-15 05:30:00+05:30,,,,,,,,439,965,419,2,7,424,1,1
232,2018-10-17 20:29:06.309256+05:30,2018-10-17 20:29:06.309256+05:30,t,NEXT-IN-WO023,"i7, 2.27 Ghz, 16 GB, Windows 7",97D5GQ1,2016-01-15 05:30:00+05:30,,,,,,,,432,445,421,2,7,424,1,1
233,2018-10-17 20:29:06.309256+05:30,2018-10-17 20:29:06.309256+05:30,t,NEXT-IN-WO008,"i5,8GB,500GB, Ubuntu 12.04, Windows 8",4F0LX52,2015-07-09 05:30:00+05:30,,,,,,,,432,441,421,2,7,422,1,1
234,2018-10-17 20:29:06.309256+05:30,2018-10-17 20:29:06.309256+05:30,t,NEXT-IN-KE041,Keyboard,CN-0RH659658900230BMF,2016-01-15 05:30:00+05:30,,,,,,,,432,987,418,2,7,424,1,1
235,2018-10-17 20:29:06.309256+05:30,2018-10-17 20:29:06.309256+05:30,t,NEXT-IN-MN015,21.5 inch monitor,CN-0638CF-74261-54F-08GB,2015-07-09 05:30:00+05:30,,,,,,,,432,454,416,2,7,424,1,1
236,2018-10-17 20:29:06.309256+05:30,2018-10-17 20:29:06.309256+05:30,t,NEXT-IN-WO083,"I5 8GB RAM 320 GB HDD, Unbuntu 16.4",891672S,2016-01-08 05:30:00+05:30,,,,,,,,432,972,421,2,7,424,1,1
237,2018-10-17 20:29:06.309256+05:30,2018-10-17 20:29:06.309256+05:30,t,NEXT-IN-MU052,Mouse,F1501ZLH,2016-01-08 05:30:00+05:30,,,,,,,,432,961,419,2,7,424,1,1
238,2018-10-17 20:29:06.309256+05:30,2018-10-17 20:29:06.309256+05:30,t,NEXT-IN-MU022,Wireless Mouse,4400403,2015-08-01 05:30:00+05:30,,,,,,,,433,470,419,2,7,423,1,1
239,2018-10-17 20:29:06.309256+05:30,2018-10-17 20:29:06.309256+05:30,t,NEXT-IN-KE051,Keyboard,820002940,2016-01-15 05:30:00+05:30,,,,,,,,440,467,418,2,7,424,1,1
240,2018-10-17 20:29:06.309256+05:30,2018-10-17 20:29:06.309256+05:30,t,NEXT-IN-MN072,,CN-OV782F-64180-026,2016-01-15 05:30:00+05:30,,,,,,,,432,991,416,2,7,424,1,1
241,2018-10-17 20:29:06.309256+05:30,2018-10-17 20:29:06.309256+05:30,t,NEXT-IN-MU069,Mouse,F93A90AN3SLOHM5,2016-01-15 05:30:00+05:30,,,,,,,,439,970,419,2,7,424,1,1
242,2018-10-17 20:29:06.309256+05:30,2018-10-17 20:29:06.309256+05:30,t,NEXT-IN-WO041,3.0Ghz Core Duo,F53862S,2016-01-15 05:30:00+05:30,,,,,,,,432,443,421,2,7,424,1,1
243,2018-10-17 20:29:06.309256+05:30,2018-10-17 20:29:06.309256+05:30,t,NEXT-IN-TA008,BigTab,BT20A00000299140298,2016-01-15 05:30:00+05:30,,,,,,,,893,994,885,2,7,422,1,1
244,2018-10-17 20:29:06.309256+05:30,2018-10-17 20:29:06.309256+05:30,t,NEXT-IN-KE022,Wireless Keyboard,4400403,2015-08-01 05:30:00+05:30,,,,,,,,433,463,418,2,7,424,1,1
245,2018-10-17 20:29:06.309256+05:30,2018-10-17 20:29:06.309256+05:30,t,NEXT-IN-MU003,Mouse,CN-011D3V-73826-51Q-1CUA,2015-07-09 05:30:00+05:30,,,,,,,,432,468,419,2,7,424,1,1
246,2018-10-17 20:29:06.309256+05:30,2018-10-17 20:29:06.309256+05:30,t,NEXT-IN-WO026,"19"" i3 3.30Ghz,4 GB,500GB Ubuntu 14.04",S1FWK8W,2015-08-01 05:30:00+05:30,,,,,,,,433,446,421,2,7,424,1,1
247,2018-10-17 20:29:06.309256+05:30,2018-10-17 20:29:06.309256+05:30,t,NEXT-IN-KE003,Keyboard,CN-0DJ494-71581-51B-067A-A01,2015-07-09 05:30:00+05:30,,,,,,,,432,458,418,2,7,424,1,1
248,2018-10-17 20:29:06.309256+05:30,2018-10-17 20:29:06.309256+05:30,t,NEXT-IN-WO031,"19"" i3 3.30Ghz,4 GB,500GB Win8",S1FWL02,2015-08-01 05:30:00+05:30,,,,,,,,433,446,421,2,7,422,1,1
249,2018-10-17 20:29:06.309256+05:30,2018-10-17 20:29:06.309256+05:30,t,NEXT-IN-WO004,"i5,8GB,500GB, Ubuntu 12.04",DVCD152,2015-07-09 05:30:00+05:30,,,,,,,,432,441,421,2,7,422,1,1
250,2018-10-17 20:29:06.309256+05:30,2018-10-17 20:29:06.309256+05:30,t,NEXT-IN-WO090,"I5 8GB RAM 160 GB HDD, Windows",3TY572S,2016-01-08 05:30:00+05:30,,,,,,,,432,972,421,2,7,422,1,1
251,2018-10-17 20:29:06.309256+05:30,2018-10-17 20:29:06.309256+05:30,t,NEXT-IN-WO105,"I5 8GB RAM 320 GB HDD, Windows",GRZ572S,2016-01-08 05:30:00+05:30,,,,,,,,432,972,421,2,7,422,1,1
252,2018-10-17 20:29:06.309256+05:30,2018-10-17 20:29:06.309256+05:30,t,NEXT-IN-KE028,Wireless Keyboard,4400427,2015-08-01 05:30:00+05:30,,,,,,,,433,463,418,2,7,424,1,1
253,2018-10-17 20:29:06.309256+05:30,2018-10-17 20:29:06.309256+05:30,t,NEXT-IN-MN069,,29981/ZIC56-15105277/001,2016-01-15 05:30:00+05:30,,,,,,,,436,1000,416,2,7,424,1,1
254,2018-10-17 20:29:06.309256+05:30,2018-10-17 20:29:06.309256+05:30,t,NEXT-IN-MU028,Wireless Mouse,4400427,2015-08-01 05:30:00+05:30,,,,,,,,433,470,419,2,7,424,1,1
255,2018-10-17 20:29:06.309256+05:30,2018-10-17 20:29:06.309256+05:30,t,NEXT-IN-WO034,"i7,3.6Ghz,1TB,8GB, WIN8",,2016-01-15 05:30:00+05:30,,,,,,,,904,,421,2,7,424,1,1
256,2018-10-17 20:29:06.309256+05:30,2018-10-17 20:29:06.309256+05:30,t,NEXT-IN-KE021,Wireless Keyboard,4400434,2015-08-01 05:30:00+05:30,,,,,,,,433,463,418,2,7,424,1,1
257,2018-10-17 20:29:06.309256+05:30,2018-10-17 20:29:06.309256+05:30,t,NEXT-IN-MU094,Mouse,,2016-01-15 05:30:00+05:30,,,,,,,,433,955,419,2,7,424,1,1
258,2018-10-17 20:29:06.309256+05:30,2018-10-17 20:29:06.309256+05:30,t,NEXT-IN-MN050,22 inch LCD Monitor,CN-0WM497641807CJ31ZL,2016-01-15 05:30:00+05:30,,,,,,,,432,,416,2,7,424,1,1
259,2018-10-17 20:29:06.309256+05:30,2018-10-17 20:29:06.309256+05:30,t,NEXT-IN-WO045,3.0Ghz Core Duo,JYC372S,2016-01-15 05:30:00+05:30,,,,,,,,432,444,421,2,7,424,1,1
260,2018-10-17 20:29:06.309256+05:30,2018-10-17 20:29:06.309256+05:30,t,NEXT-IN-WO042,"3.0Ghz Core Duo,8GB,Windows 7",1B3R72S,2016-01-15 05:30:00+05:30,,,,,,,,432,443,421,2,7,424,1,1
261,2018-10-17 20:29:06.309256+05:30,2018-10-17 20:29:06.309256+05:30,t,NEXT-IN-WO082,"I5 8GB RAM 500GB HDD, Ubuntu 14.4",CZZ572S,2016-01-08 05:30:00+05:30,,,,,,,,432,972,421,2,7,424,1,1
262,2018-10-17 20:29:06.309256+05:30,2018-10-17 20:29:06.309256+05:30,t,NEXT-IN-KE088,Keyboard,CN-OHVG5J-71616-65D-180J-A03,2016-01-08 05:30:00+05:30,,,,,,,,432,944,418,2,7,424,1,1
