id,created_date,modified_date,is_active,refitems_name,refitems_code,is_systemdata,refitems_desc,created_by_id,modified_by_id,refitems_category_id
44,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Gnosticism,GNOST,f,Gnosticism,1,1,12
45,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Islam,ISLAM,f,Islam,1,1,12
46,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Judaism,JUDAI,f,Judaism,1,1,12
47,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Others,OTHRS,f,Others,1,1,12
48,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Buddhism,BUDHI,f,Buddhism,1,1,12
49,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Hinduism,HINDU,f,Hinduism,1,1,12
50,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,A -,ANGTV,f,A -,1,1,13
51,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,A +,APSTV,f,A +,1,1,13
52,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,AB -,ABNGT,f,AB -,1,1,13
53,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,AB +,ABPST,f,AB +,1,1,13
54,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,B -,BNGTV,f,B -,1,1,13
55,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,B +,BPSTV,f,B +,1,1,13
56,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,O -,ONGTV,f,O -,1,1,13
57,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,O +,OPSTV,f,O +,1,1,13
58,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Morning,MORNG,f,Morning,1,1,14
59,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Noon,NOOON,f,Noon,1,1,14
60,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Evening,EVENG,f,Evening,1,1,14
61,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Post-Dinner,DINNR,f,Post-Dinner,1,1,14
62,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Present,PRSNT,f,Present,1,1,15
63,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Absent,ABSNT,f,Absent,1,1,15
64,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Reported UnWell,UNWEL,f,Reported UnWell,1,1,15
65,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Mother,MOTHR,f,Mother,1,1,16
66,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Father,FATHR,f,Father,1,1,16
67,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Daughter,DAGTR,f,Daughter,1,1,16
68,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Son,SONNN,f,Son,1,1,16
69,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Friend,FREND,f,Friend,1,1,16
70,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Business Relation,BIZRL,f,Business Relation,1,1,16
71,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Mother-In-Law,MTRLA,f,Mother-In-Law,1,1,16
72,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Father-In-Law,FTRLA,f,Father-In-Law,1,1,16
